C0 values	alpha	beta	number of C0 in D0	number of C0 in D1	number of C1 in D0	number of C1 in D1	logreg time	cnn_aux time	cnn_pure time	logreg rocauc	cnn_aux rocauc	cnn_pure rocauc	mean logreg rocauc	mean cnn_aux rocauc	mean cnn_pure rocauc
[0]	0.0009668063	0.0009668063	30	30	31000	31000	51.6547312737	81.3805794716	159.5456347466	0.5303009824	0.6360005122	0.4268778499	0.530605057	0.6200635058	0.5378535412
[0]	0.0009668063	0.0009668063	30	30	31000	31000	57.4114289284	84.0858879089	166.4180622101	0.5455553438	0.5847750548	0.4507334453	0.530605057	0.6200635058	0.5378535412
[0]	0.0009668063	0.0009668063	30	30	31000	31000	53.8940985203	80.0927200317	157.5559873581	0.550120997	0.5023715415	0.5504181119	0.530605057	0.6200635058	0.5378535412
[0]	0.0009668063	0.0009668063	30	30	31000	31000	51.428194046	79.5274474621	156.3343780041	0.6404157289	0.6987523	0.6178185777	0.530605057	0.6200635058	0.5378535412
[0]	0.0009668063	0.0009668063	30	30	31000	31000	51.9823172092	80.2426559925	162.3563468456	0.4381311068	0.6679775937	0.5600568646	0.530605057	0.6200635058	0.5378535412
[0]	0.0009668063	0.0009668063	30	30	31000	31000	53.7184288502	84.0614378452	152.4991528988	0.4791061828	0.6305040323	0.6212163978	0.530605057	0.6200635058	0.5378535412
[0]	0.0009668063	0.001931745	30	60	31000	31000	54.1162648201	73.9048552513	141.7063941956	0.6384591576	0.5762187447	0.5282874309	0.6277000673	0.5975315216	0.5789560635
[0]	0.0009668063	0.001931745	30	60	31000	31000	58.0438117981	74.8628156185	144.2529375553	0.6902548163	0.5115339382	0.684156586	0.6277000673	0.5975315216	0.5789560635
[0]	0.0009668063	0.001931745	30	60	31000	31000	58.3775658607	74.6986906528	145.0625793934	0.627707594	0.5830385949	0.4425587796	0.6277000673	0.5975315216	0.5789560635
[0]	0.0009668063	0.001931745	30	60	31000	31000	58.8616645336	76.3721380234	145.0974955559	0.6143439566	0.5577382932	0.6233734982	0.6277000673	0.5975315216	0.5789560635
[0]	0.0009668063	0.001931745	30	60	31000	31000	58.4729793072	77.4023003578	147.2663884163	0.6310999159	0.6129504913	0.5426369815	0.6277000673	0.5975315216	0.5789560635
